secao,idx,key,tipo,parameters,description,optional,defeat,startHidden
TAREFA,0,"hist_1_01","CAMERA_ZOOM","","Aproximar o zoom (bolinha do mouse ou pinça no toque)",False,False,True
TAREFA,1,"hist_1_02","CAMERA_PAN","1,3","Arrastar a câmera até o Ryan (dedo ou botão direito)",False,False,True
TAREFA,2,"hist_1_03","INSPECT_ALLY_UNIT","","Inspecionar um companheiro de fila",False,False,True
TAREFA,3,"hist_1_04","UNIT_SELECTED","SD && (1,3)","Selecionar o Recruta Ryan",False,False,True
TAREFA,4,"hist_1_05","UNIT_AT_HEX","SD && Bandeira","Subir na montanha da bandeira",False,False,True
TAREFA,5,"hist_1_06","HOLD_POSITION","SD && Bandeira","Manter posicao na montanha",False,False,True
TAREFA,6,"hist_1_07","ATTACK_UNIT","","Atacar o soldado inimigo",False,False,True
TAREFA,7,"hist_1_08","ENDING","","Você aprendeu o básico",False,False,True

secao,idx,advance,objectiveKey,revealObjective,turn,movement,text,spawnCommand,statCommand
PASSO,0,"Immediate","",False,"Locked","NoEffect","Bem-vindo, recruta. Já encheu o bucho com a comida da caserna e tomou o café que parece óleo diesel?","",""
PASSO,1,"Immediate","",False,"NoEffect","NoEffect","Recruta Ryan, certo? Muito bem. Você é o número 17. Em fila, soldado.","slot0 SD 1,3 name=Ryan cursor",""
PASSO,2,"Immediate","",False,"NoEffect","NoEffect","Esses dois aí já cumpriram a parte deles. Agora é você.  Enquanto eu estiver falando, ninguém passa turno, ninguém dá uma de turista e ninguém aperta botão por curiosidade. Entendido?","slot0 SD 0,3 acted name=Mathias; slot0 SD 2,3 acted name=Dias",""
PASSO,3,"ObjectiveCompleted","hist_1_01",True,"NoEffect","NoEffect","Antes de puxar o gatilho, primeiro é preciso conhecer a si mesmo.  Meu Velho falava algo nessa linha, mas ele provavelmente não precisava lidar com recruta sonolento.   [ordem]Aproxime a câmera com a roda do mouse ou fazendo o gesto de pinça na tela.[/ordem]","",""
PASSO,4,"ObjectiveCompleted","hist_1_02",True,"NoEffect","NoEffect","[ordem]Arraste o mapa com o botão direito do mouse ou com um dedo na tela.[/ordem]","",""
PASSO,5,"Immediate","hist_1_01",False,"NoEffect","NoEffect","Está vendo o [vermelho]coração[/vermelho] acima de sua unidade? Ele indica sua capacidade de luta. Quando está cheio, o esquadrão combate com força total. Quando esvazia, sua força de tiro cai junto.  Menos soldados atirando, menos chumbo indo para o outro lado.","",""
PASSO,6,"Immediate","",False,"NoEffect","NoEffect","A sua figura em campo não representa um soldado sozinho.   Ela representa [enfase]um esquadrão de 10 soldados[/enfase] lutando juntos no mesmo setor.   Menos soldados atirando, menos chumbo indo para o outro lado.","",""
PASSO,7,"Immediate","",False,"NoEffect","NoEffect","Uma unidade ferida luta com menos força, entendido?  Mathias ainda luta, mas ferido desse jeito não vai conseguir fazer as coisas direito.  [enfase]Observe seu companheiro a esquerda com 4 de hp[/enfase]","","Mathias hp=4; pan Mathias"
PASSO,8,"Immediate","",False,"NoEffect","NoEffect","Agora olhe a [enfase]barra laranja.[/enfase]  Essa é sua autonomia, sua capacidade de marcha. Se isso zerar, você não morre, mas fica estacionário no campo, feito poste com capacete.","",""
PASSO,9,"Immediate","",False,"NoEffect","NoEffect","Quando a autonomia estiver abaixo da metade, ela muda pra [amarelo]amarelo.[/amarelo]  Olha o soldado Mathias cansado após a corridinha mixuruca [enfase]Seu companheiro a esquerda com 30 de autonomia[/enfase]","","Mathias fuel=30; pan Mathias"
